model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
tasnet,TasNet,tasnet,deep,0.13216790318489074,0.9347157604469225,8.978874880924309,0.10017314995825391,0.040292141209976436,2503296.0,60.89694000000012,2026-05-25T05:18:26.678580Z,10072.054724,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,1.0
unet1d,UNet1D,unet,deep,0.15877111196517946,0.8941169274742142,7.398852053601261,0.1108602223128015,0.03789509355037939,2710819.0,21.702780000000036,2026-05-25T08:08:16.620684Z,4045.382972,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,5.0
unet1d,UNet1D,unet,deep,0.175801500082016,0.8800427993324463,7.166305068232628,0.10144337517790966,0.03920547884956309,2710819.0,20.078459999999957,2026-05-25T07:00:47.922297Z,2983.988591,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,6.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.17132644176483156,0.8709606746424003,6.693094520676279,0.09956695928635391,0.049412536760800936,78070.0,23.51080000000003,2026-05-25T17:49:27.264977Z,4873.228442,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf100_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf100_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,10.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.19038691401481628,0.8582264162011112,6.52411191263261,0.09993377771249412,0.037195815432308175,78070.0,18.224520000000055,2026-05-25T16:28:10.213392Z,3381.873509,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf075_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf075_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,12.0
sepformer,SepFormer,sepformer,deep,0.058741808732350666,0.8382588338768542,5.898836887182271,0.036854835324455465,0.18997768352224595,601088.0,6.356600000003709,,3171.22,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,15.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.08411800394455592,0.8036347638450214,4.828522928934773,0.11656327768109215,0.033594497658872735,29302.0,5.1971999999977925,,,,,,,,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,21.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.25173721194267273,0.7828923612728644,4.51805892757533,0.1109744774900317,0.03116138470785941,5859.0,3.6382199999999365,2026-05-24T18:43:01.634393Z,437.551995,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,26.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.09027554363012313,0.7800541507642534,4.49299113494747,0.11855331423155455,0.03367243717958048,5859.0,1.8196999999986474,2026-04-20T04:36:29.173990Z,400.423291,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,27.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2485169994831085,0.7638261500377372,4.142691879951573,0.10557242634741396,0.0338613730512878,5859.0,1.753599999986477,2026-04-20T04:39:10.647747Z,561.925048,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,39.0
conv1dnetwork,Shallow Conv1D,conv1d,shallow,0.14164206912120184,0.6990834947162021,2.959428833373917,0.12928955496191524,0.022020618905862054,5443.0,0.9222999999991544,2026-04-20T04:37:09.811622Z,441.119436,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\conv1Dnetwork_best.pt,decomposers\ML_methods\NN_based\saved_models\conv1Dnetwork\final_test_report.json,conv1dnetwork,,conv1d,,,,,,,SNN,,,,,,,,,,,,0,SNN,54.0
mlp_singlehead,SingleHead MLP,mlp,shallow,0.3949497067928314,0.5574956611452917,1.3463357869243435,0.15705713265627802,0.007864159735399603,643.0,0.3207800000000205,2026-05-25T14:11:18.525081Z,694.642069,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead_data_availability_tf100_s42\mlp_singlehead_best.pt,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead_data_availability_tf100_s42\final_test_report.json,mlp_singlehead,,mlp,,,,,,,SNN,,,,,,,,,,,,0,SNN,80.0
