model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
tasnet,TasNet,tasnet,deep,0.13216790318489074,0.9347157604469225,8.978874880924309,0.10017314995825391,0.040292141209976436,2503296.0,60.89694000000012,2026-05-25T05:18:26.678580Z,10072.054724,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,1.0
tasnet,TasNet,tasnet,deep,0.02802625800172488,0.9345496932204675,9.322229397256804,0.03508929112691644,0.189399269605921,2503296.0,86.85360000000131,,4103.91,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,2.0
tasnet,TasNet,tasnet,deep,0.1510607546567917,0.9176189809607689,8.491382118262306,0.09610581435764398,0.040046538057454936,2503296.0,62.18287999999994,2026-05-25T02:30:30.568682Z,7414.275981,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf075_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf075_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,3.0
tasnet,TasNet,tasnet,deep,0.14947033643722535,0.9151321654225762,8.16621640033858,0.09432355646261467,0.04501590312417439,2503296.0,65.65286000000015,2026-05-25T00:26:52.410404Z,5170.150694,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf050_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf050_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,4.0
unet1d,UNet1D,unet,deep,0.15877111196517946,0.8941169274742142,7.398852053601261,0.1108602223128015,0.03789509355037939,2710819.0,21.702780000000036,2026-05-25T08:08:16.620684Z,4045.382972,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,5.0
unet1d,UNet1D,unet,deep,0.175801500082016,0.8800427993324463,7.166305068232628,0.10144337517790966,0.03920547884956309,2710819.0,20.078459999999957,2026-05-25T07:00:47.922297Z,2983.988591,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,6.0
unet1d,UNet1D,unet,deep,0.17511518716812133,0.8786929483360199,6.875950211033271,0.10421468804385584,0.03888151271900042,2710819.0,23.58507999999988,2026-05-25T06:11:00.310097Z,1960.028697,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf050_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf050_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,7.0
unet1d,UNet1D,unet,deep,0.05228243485093117,0.8778733767275306,6.835553567502021,0.11301488994408904,0.03776589025283809,2710819.0,37.6606000000006,2026-04-20T04:48:12.542420Z,1103.905236,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,8.0
unet1d_pure_harmonic_amfm_chirp_trend_transient,unet1d_pure_harmonic_amfm_chirp_trend_transient,unknown,,0.03774098493158817,0.8721274239793777,7.174882978804903,0.03580880648837412,0.3404415170213548,,,,,,,,,,decomposers\ML_methods\NN_based\saved_models\unet1d_pure_harmonic_amfm_chirp_trend_transient\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_pure_harmonic_amfm_chirp_trend_transient\final_test_report.json,,,unknown,,,,,,,DNN,,,,,,,,,,,,0,DNN,9.0
tasnet,TasNet,tasnet,deep,0.18830593943595886,0.8702248242361835,6.65571652504328,0.10332511168754613,0.03550023188950618,2503296.0,64.11750000000005,2026-05-24T23:00:38.637370Z,2758.391659,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf025_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf025_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,10.0
unet1d,UNet1D,unet,deep,0.2095617127418518,0.8428469345575076,6.139492541276734,0.10054206880333359,0.03617631127143821,2710819.0,18.38292000000008,2026-05-25T05:38:17.509815Z,667.219221,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf025_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf025_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,11.0
